Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TenureToSalaryRatio,NoPromotionFlag,OvertimeRiskWeight,SatisfactionScore,CareerStagnation,LowIncomeFlag,ManagerRisk,RiskScore,Attrition_Actual,HighRiskFlag,ReplacementCostUSD
34,Travel_Rarely,699,Research & Development,6,1,Medical,2,Male,83,3,1,Research Scientist,1,Single,2960,17102,2,No,11,3,3,0,8,2,3,4,2,1,3,1.3513513508948136,0,0,2.0,0.2222222222222222,0,0,0.39369932909631744,1,0,53280.0
53,Travel_Rarely,1282,Research & Development,5,3,Other,3,Female,58,3,5,Manager,3,Divorced,19094,10735,4,No,11,3,4,1,26,3,2,14,13,4,8,0.7332146223560692,1,0,3.3333333333333335,0.48148148148148145,0,0,0.0,0,0,343692.0
32,Travel_Frequently,1125,Research & Development,16,1,Life Sciences,2,Female,72,1,1,Research Scientist,1,Single,3919,4681,1,Yes,22,4,2,0,10,5,3,10,2,6,7,2.551671344079696,1,2,1.6666666666666667,0.18181818181818182,0,0,0.9350988864977202,1,1,70542.0
42,Travel_Rarely,691,Sales,8,4,Marketing,3,Male,48,3,2,Sales Executive,2,Married,6825,21173,0,No,11,3,4,1,10,2,3,9,7,4,2,1.3186813184881052,1,0,3.0,0.6363636363636364,0,0,0.24376228816754636,0,0,122850.0
44,Travel_Rarely,477,Research & Development,7,4,Medical,1,Female,42,2,3,Healthcare Representative,4,Married,10248,2094,3,No,14,3,4,1,24,4,3,22,6,5,17,2.1467603432721742,1,0,3.0,0.24,0,0,0.09459299294011297,0,0,184464.0
46,Travel_Rarely,705,Sales,2,4,Marketing,2,Female,83,3,5,Manager,1,Single,18947,22822,3,No,12,3,4,0,22,2,2,2,2,2,1,0.10555760805903006,0,0,2.3333333333333335,0.08695652173913043,0,1,0.34377352440455533,0,0,341046.0
33,Travel_Rarely,924,Research & Development,2,3,Medical,3,Male,78,3,1,Laboratory Technician,4,Single,2496,6670,4,No,11,3,4,0,7,3,3,1,1,0,0,0.4006410254805124,0,0,3.6666666666666665,0.125,1,1,0.529764853309745,0,1,44928.0
44,Travel_Rarely,1459,Research & Development,10,4,Other,4,Male,41,3,2,Healthcare Representative,4,Married,6465,19121,2,Yes,13,3,4,0,9,5,4,4,2,1,3,0.618716163864081,0,2,4.0,0.2,0,0,0.10903459566816069,0,0,116370.0
30,Travel_Rarely,125,Research & Development,9,2,Medical,4,Male,83,2,1,Laboratory Technician,3,Single,2206,16117,1,No,13,3,1,0,10,5,3,10,0,1,8,4.53309156639479,0,0,2.6666666666666665,0.0,1,0,0.3811352265322149,0,0,39708.0
39,Travel_Rarely,895,Sales,5,3,Technical Degree,4,Male,56,3,2,Sales Representative,4,Married,2086,3335,3,No,14,3,3,1,19,6,4,1,0,0,0,0.47938638519684257,0,0,3.6666666666666665,0.0,1,1,0.09459299294011297,1,0,37548.0
24,Travel_Rarely,813,Research & Development,1,3,Medical,2,Male,61,3,1,Research Scientist,4,Married,2293,3020,2,Yes,16,3,1,1,6,2,2,2,0,2,0,0.8722197990090623,0,2,2.3333333333333335,0.0,1,1,0.9691097612065354,1,1,41274.0
43,Travel_Rarely,1273,Research & Development,2,2,Medical,4,Female,72,4,1,Research Scientist,3,Divorced,2645,21923,1,No,12,3,4,2,6,3,2,5,3,1,4,1.8903591675272744,0,0,3.6666666666666665,0.42857142857142855,1,0,0.0,0,0,47610.0
50,Travel_Rarely,869,Sales,3,2,Marketing,1,Male,86,2,1,Sales Representative,3,Married,2683,3810,1,Yes,14,3,3,0,3,2,3,3,2,0,2,1.1181513227289783,0,2,2.3333333333333335,0.5,1,0,0.9473706307717528,1,1,48294.0
35,Travel_Rarely,890,Sales,2,3,Marketing,4,Female,97,3,1,Sales Representative,4,Married,2014,9687,1,No,13,3,1,0,2,3,3,2,2,2,2,0.9930486588912371,0,0,3.0,0.6666666666666666,1,0,0.24488011695906434,0,0,36252.0
36,Travel_Rarely,852,Research & Development,5,4,Life Sciences,2,Female,82,2,1,Research Scientist,1,Married,3419,13072,9,Yes,14,3,4,1,6,3,4,1,1,0,0,0.2924831821314761,0,2,2.3333333333333335,0.14285714285714285,0,1,0.9473706307717528,0,1,61542.0
33,Travel_Frequently,1141,Sales,1,3,Life Sciences,3,Female,42,4,2,Sales Executive,1,Married,5376,3193,2,No,19,3,1,2,10,3,3,5,3,1,3,0.9300595236365216,0,0,1.6666666666666667,0.2727272727272727,0,0,0.09923067409953348,0,0,96768.0
35,Travel_Rarely,464,Research & Development,4,2,Other,3,Male,75,3,1,Laboratory Technician,4,Divorced,1951,10910,1,No,12,3,3,1,1,3,3,1,0,0,0,0.5125576624743425,0,0,3.3333333333333335,0.0,1,1,0.3400525941719971,0,0,35118.0
27,Travel_Rarely,1240,Research & Development,2,4,Life Sciences,4,Female,33,3,1,Laboratory Technician,1,Divorced,2341,19715,1,No,13,3,4,1,1,6,3,1,0,0,0,0.42716787679317897,0,0,3.0,0.0,1,1,0.26390890160725194,0,0,42138.0
26,Travel_Rarely,1357,Research & Development,25,3,Life Sciences,1,Male,48,1,1,Laboratory Technician,3,Single,2293,10558,1,No,12,3,3,0,1,2,2,1,0,0,1,0.43610989950453116,0,0,2.3333333333333335,0.0,1,1,1.0,1,1,41274.0
27,Travel_Frequently,994,Sales,8,3,Life Sciences,4,Male,37,3,3,Sales Executive,3,Single,8726,2975,1,No,15,3,4,0,9,0,3,9,8,1,7,1.0314004124419665,0,0,3.6666666666666665,0.8,0,0,0.10903459566816069,0,0,157068.0
30,Travel_Frequently,721,Research & Development,1,2,Medical,3,Female,58,3,2,Laboratory Technician,4,Single,4011,10781,1,No,23,4,4,0,12,2,3,12,8,3,7,2.9917726245345864,1,0,3.6666666666666665,0.6153846153846154,0,0,0.03842538190364277,0,0,72198.0
41,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,2,Female,49,3,5,Research Director,3,Married,19545,16280,1,No,12,3,4,0,23,0,3,22,15,15,8,1.125607572211532,1,0,3.0,0.625,0,0,0.05351972152628428,1,0,351810.0
34,Non-Travel,1065,Sales,23,4,Marketing,2,Male,72,3,2,Sales Executive,3,Single,4568,10034,0,No,20,4,3,0,10,2,3,9,5,8,7,1.970227670321754,1,0,2.6666666666666665,0.45454545454545453,0,0,0.48917205805210695,0,0,82224.0
37,Travel_Rarely,408,Research & Development,19,2,Life Sciences,2,Male,73,3,1,Research Scientist,2,Married,3022,10227,4,No,21,4,1,0,8,1,3,1,0,0,0,0.33090668420552394,0,0,1.6666666666666667,0.0,0,1,0.5890262293416346,0,1,54396.0
46,Travel_Frequently,1211,Sales,5,4,Marketing,1,Male,98,3,2,Sales Executive,4,Single,5772,20445,4,Yes,21,4,3,0,14,4,3,9,6,0,8,1.5592515589814187,0,2,2.6666666666666665,0.4,0,0,0.461127328320765,0,0,103896.0
35,Travel_Rarely,1229,Research & Development,8,1,Life Sciences,4,Male,36,4,1,Laboratory Technician,4,Married,2269,4892,1,No,19,3,4,0,1,2,3,1,0,0,1,0.4407227851737669,0,0,4.0,0.0,1,1,0.10949160206027622,0,0,40842.0
48,Travel_Rarely,626,Research & Development,1,2,Life Sciences,1,Male,98,2,3,Laboratory Technician,3,Single,5381,19294,9,Yes,13,3,4,0,23,2,3,1,0,0,0,0.18583906333658445,0,2,2.6666666666666665,0.0,0,1,0.9383524750144666,1,1,96858.0
28,Travel_Rarely,1434,Research & Development,5,4,Technical Degree,3,Male,50,3,1,Laboratory Technician,3,Single,3441,11179,1,Yes,13,3,3,0,2,3,2,2,2,2,2,0.5812263875090885,0,2,3.0,0.6666666666666666,0,0,0.830374085117918,1,1,61938.0
44,Travel_Rarely,1488,Sales,1,5,Marketing,2,Female,75,3,2,Sales Executive,1,Divorced,5454,4009,5,Yes,21,4,3,1,9,2,2,4,3,1,3,0.7334066738662621,0,2,2.0,0.3,0,0,0.541795665634675,0,1,98172.0
35,Non-Travel,1097,Research & Development,11,2,Medical,3,Male,79,2,3,Healthcare Representative,1,Married,9884,8302,2,Yes,13,3,3,1,10,3,3,4,0,2,3,0.40469445564501266,0,2,2.3333333333333335,0.0,0,0,0.6050062730361792,0,1,177912.0
26,Travel_Rarely,1443,Sales,23,3,Marketing,3,Female,47,2,2,Sales Executive,4,Married,4157,21436,7,Yes,19,3,3,1,5,2,2,2,2,0,0,0.4811161894440423,0,2,3.3333333333333335,0.3333333333333333,0,1,0.9473706307717528,0,1,74826.0
33,Travel_Frequently,515,Research & Development,1,2,Life Sciences,1,Female,98,3,3,Research Director,4,Single,13458,15146,1,Yes,12,3,3,0,15,1,3,15,14,8,12,1.1145786891726424,1,2,2.6666666666666665,0.875,0,0,0.464172058052107,0,0,242244.0
35,Travel_Frequently,853,Sales,18,5,Life Sciences,2,Male,71,3,3,Sales Executive,1,Married,9069,11031,1,No,22,4,4,1,9,3,2,9,8,1,8,0.9923916638005963,0,0,2.3333333333333335,0.8,0,0,0.20039545703338807,0,0,163242.0
35,Travel_Rarely,1142,Research & Development,23,4,Medical,3,Female,30,3,1,Laboratory Technician,1,Married,4014,16002,3,Yes,15,3,3,1,4,3,3,2,2,2,2,0.4982561035131399,0,2,2.3333333333333335,0.4,0,0,0.6885918003565064,0,1,72252.0
31,Travel_Rarely,655,Research & Development,7,4,Life Sciences,4,Male,48,3,2,Laboratory Technician,4,Divorced,5915,9528,3,No,22,4,4,1,10,3,2,7,7,1,7,1.1834319524626489,0,0,4.0,0.6363636363636364,0,0,0.0,0,0,106470.0
37,Travel_Rarely,1115,Research & Development,1,4,Life Sciences,1,Male,51,2,2,Manufacturing Director,3,Divorced,5993,2689,1,No,18,3,3,1,7,2,4,7,5,0,7,1.168029367400629,0,0,2.3333333333333335,0.625,0,0,0.09459299294011297,0,0,107874.0
32,Travel_Rarely,427,Research & Development,1,3,Medical,1,Male,33,3,2,Manufacturing Director,4,Married,6162,10877,1,Yes,22,4,2,1,9,3,3,9,8,7,8,1.4605647514669644,1,2,2.3333333333333335,0.8,0,0,0.5014035087719299,0,0,110916.0
38,Travel_Frequently,653,Research & Development,29,5,Life Sciences,4,Female,50,3,2,Laboratory Technician,4,Single,2406,5456,1,No,11,3,4,0,10,2,3,10,3,9,9,4.156275974997391,1,0,4.0,0.2727272727272727,1,0,0.35261669673609974,0,0,43308.0
50,Travel_Rarely,989,Research & Development,7,2,Medical,2,Female,43,2,5,Research Director,3,Divorced,18740,16701,5,Yes,12,3,4,1,29,2,2,27,3,13,8,1.440768409741688,1,2,3.0,0.1,0,0,0.27993650793650793,0,0,337320.0
59,Travel_Rarely,1435,Sales,25,3,Life Sciences,1,Female,99,3,3,Sales Executive,1,Single,7637,2354,7,No,11,3,4,0,28,3,2,21,16,7,9,2.7497708520689055,1,0,2.0,0.5517241379310345,0,0,0.4535337601797666,0,0,137466.0
36,Travel_Rarely,1223,Research & Development,8,3,Technical Degree,3,Female,59,3,3,Healthcare Representative,3,Divorced,10096,8202,1,No,13,3,2,3,17,2,3,17,14,12,8,1.6838351820836137,1,0,2.6666666666666665,0.7777777777777778,0,0,0.03842538190364277,0,0,181728.0
55,Travel_Rarely,836,Research & Development,8,3,Medical,4,Female,33,3,4,Manager,3,Divorced,14756,19730,2,Yes,14,3,3,3,21,2,3,5,0,0,2,0.33884521548259383,0,2,3.3333333333333335,0.0,0,0,0.0,0,0,265608.0
36,Travel_Frequently,1195,Research & Development,11,3,Life Sciences,2,Male,95,2,2,Manufacturing Director,2,Single,6499,22656,1,No,13,3,3,0,6,3,3,6,5,0,3,0.9232189566205233,0,0,2.3333333333333335,0.7142857142857143,0,0,0.3774142962996567,0,0,116982.0
45,Travel_Rarely,1339,Research & Development,7,3,Life Sciences,2,Male,59,3,3,Research Scientist,1,Divorced,9724,18787,2,No,17,3,3,1,25,2,3,1,0,0,0,0.10283833812188005,0,0,2.0,0.0,0,1,0.07080300114355842,0,0,175032.0
35,Travel_Frequently,664,Research & Development,1,3,Medical,2,Male,79,3,1,Research Scientist,1,Married,2194,5868,4,No,13,3,4,1,5,2,2,3,2,1,2,1.3673655417651023,0,0,2.3333333333333335,0.3333333333333333,1,0,0.5121504928252569,0,1,39492.0
36,Travel_Rarely,318,Research & Development,9,3,Medical,4,Male,79,2,1,Research Scientist,3,Married,3388,21777,0,Yes,17,3,1,1,2,0,2,1,0,0,0,0.29515938598135794,0,2,2.6666666666666665,0.0,0,1,0.9171501685490023,1,1,60984.0
59,Travel_Frequently,1225,Sales,1,1,Life Sciences,1,Female,57,2,2,Sales Executive,3,Single,5473,24668,7,No,11,3,4,0,20,2,2,4,3,1,3,0.7308605882092343,0,0,2.6666666666666665,0.14285714285714285,0,0,0.2956081497275527,0,0,98514.0
29,Travel_Rarely,1328,Research & Development,2,3,Life Sciences,3,Male,76,3,1,Research Scientist,2,Married,2703,4956,0,No,23,4,4,1,6,3,3,5,4,0,4,1.8497965216981886,0,0,3.0,0.5714285714285714,1,0,0.09459299294011297,0,0,48654.0
31,Travel_Rarely,1082,Research & Development,1,4,Medical,3,Male,87,3,1,Research Scientist,2,Single,2501,18775,1,No,17,3,2,0,1,4,3,1,1,1,0,0.3998400638145382,0,0,2.3333333333333335,0.5,1,1,0.5854931446262717,0,1,45018.0
32,Travel_Rarely,548,Research & Development,1,3,Life Sciences,2,Male,66,3,2,Research Scientist,2,Married,6220,7346,1,No,17,3,2,2,10,3,3,10,4,0,9,1.6077170415421678,0,0,2.0,0.36363636363636365,0,0,0.09459299294011297,0,0,111960.0
36,Travel_Rarely,132,Research & Development,6,3,Life Sciences,2,Female,55,4,1,Laboratory Technician,4,Married,3038,22002,3,No,12,3,2,0,5,3,3,1,0,0,0,0.32916392352562085,0,0,2.6666666666666665,0.0,0,1,0.3811352265322149,0,0,54684.0
31,Travel_Rarely,746,Research & Development,8,4,Life Sciences,3,Female,61,3,2,Manufacturing Director,4,Single,4424,20682,1,No,23,4,4,0,11,2,3,11,7,1,8,2.4864376124578573,0,0,3.6666666666666665,0.5833333333333334,0,0,0.0,0,0,79632.0
35,Travel_Rarely,776,Sales,1,4,Marketing,3,Male,32,2,2,Sales Executive,1,Single,4312,23016,0,No,14,3,2,0,16,2,3,15,13,2,8,3.4786641921431665,0,0,2.0,0.7647058823529411,0,0,0.24437662263395668,0,0,77616.0
45,Travel_Rarely,193,Research & Development,6,4,Other,4,Male,52,3,3,Research Director,1,Married,13245,15067,4,Yes,14,3,2,0,17,3,4,0,0,0,0,0.0,0,2,2.3333333333333335,0.0,0,1,0.4764794966138751,0,0,238410.0
37,Travel_Rarely,397,Research & Development,7,4,Medical,1,Male,30,3,3,Research Director,3,Single,13664,25258,4,No,13,3,1,0,16,3,4,5,2,0,2,0.36592505852122914,0,0,1.6666666666666667,0.11764705882352941,0,0,0.3400525941719971,0,0,245952.0
46,Travel_Rarely,945,Human Resources,5,2,Medical,2,Male,80,3,2,Human Resources,2,Divorced,5021,10425,8,Yes,22,4,4,1,16,2,3,4,2,0,2,0.7966540528188301,0,2,2.6666666666666665,0.11764705882352941,0,0,0.1881628001887977,0,0,90378.0
30,Travel_Rarely,852,Research & Development,1,1,Life Sciences,4,Male,55,2,2,Laboratory Technician,4,Married,5126,15998,1,Yes,12,3,3,2,10,1,2,10,8,3,0,1.950838860329528,1,2,3.6666666666666665,0.7272727272727273,0,1,0.5366008604398698,0,1,92268.0
35,Travel_Rarely,1214,Research & Development,1,3,Medical,2,Male,30,2,1,Research Scientist,3,Single,2859,26278,1,No,18,3,1,0,6,3,3,6,4,0,4,2.0986358859396166,0,0,2.0,0.5714285714285714,1,0,0.39369932909631744,0,0,51462.0
55,Travel_Rarely,111,Sales,1,2,Life Sciences,1,Male,70,3,3,Sales Executive,4,Married,10239,18092,3,No,14,3,4,1,24,4,3,1,0,1,0,0.09766578766503899,0,0,3.0,0.0,0,1,0.09459299294011297,0,0,184302.0
38,Non-Travel,573,Research & Development,6,3,Medical,2,Female,79,1,2,Research Scientist,4,Divorced,5329,15717,7,Yes,12,3,4,3,17,3,3,13,11,1,9,2.4394820787315665,0,2,3.3333333333333335,0.6111111111111112,0,0,0.10903459566816069,0,0,95922.0
34,Travel_Rarely,1153,Research & Development,1,2,Medical,1,Male,94,3,2,Manufacturing Director,2,Married,4325,17736,1,No,15,3,3,0,5,2,3,5,2,1,3,1.1560693638945503,0,0,2.0,0.3333333333333333,0,0,0.24851098976005304,0,0,77850.0
56,Travel_Rarely,1400,Research & Development,7,3,Life Sciences,4,Male,49,1,3,Manufacturing Director,4,Single,7260,21698,4,No,11,3,1,0,37,3,2,6,4,0,2,0.8264462808779,0,0,3.0,0.10526315789473684,0,0,0.05325914149443561,0,0,130680.0
23,Travel_Rarely,541,Sales,2,1,Technical Degree,3,Male,62,3,1,Sales Representative,1,Divorced,2322,9518,3,No,13,3,3,1,3,3,3,0,0,0,0,0.0,0,0,2.3333333333333335,0.0,1,1,0.7085434173669467,0,1,41796.0
51,Travel_Rarely,432,Research & Development,9,4,Life Sciences,4,Male,96,3,1,Laboratory Technician,4,Married,2075,18725,3,No,23,4,2,2,10,4,3,4,2,0,3,1.9277108424444764,0,0,3.3333333333333335,0.18181818181818182,1,0,0.09459299294011297,0,0,37350.0
30,Travel_Rarely,288,Research & Development,2,3,Life Sciences,3,Male,99,2,2,Healthcare Representative,4,Married,4152,15830,1,No,19,3,1,3,11,3,3,11,10,10,8,2.6493256255661546,1,0,2.6666666666666665,0.8333333333333334,0,0,0.16371295824126014,0,0,74736.0
46,Travel_Rarely,669,Sales,9,2,Medical,3,Male,64,2,3,Sales Executive,4,Single,9619,13596,1,No,16,3,4,0,9,3,3,9,8,4,7,0.9356481961809285,1,0,3.6666666666666665,0.8,0,0,0.16508968133287555,1,0,173142.0
40,Travel_Frequently,530,Research & Development,1,4,Life Sciences,3,Male,78,2,4,Healthcare Representative,2,Married,13503,14115,1,No,22,4,4,1,22,3,2,22,3,11,11,1.6292675700489323,1,0,3.0,0.13043478260869565,0,0,0.10903459566816069,0,0,243054.0
51,Travel_Rarely,632,Sales,21,4,Marketing,3,Male,71,3,2,Sales Executive,4,Single,5441,8423,0,Yes,22,4,4,0,11,2,1,10,7,1,0,1.8378974449847643,0,2,3.6666666666666665,0.5833333333333334,0,1,0.5039037390381175,0,0,97938.0
30,Travel_Rarely,1334,Sales,4,2,Medical,3,Female,63,2,2,Sales Executive,2,Divorced,5209,19760,1,Yes,12,3,2,3,11,4,2,11,8,2,7,2.1117296981931792,0,2,2.3333333333333335,0.6666666666666666,0,0,0.3174962031945536,0,0,93762.0
46,Travel_Frequently,638,Research & Development,1,3,Medical,3,Male,40,2,3,Healthcare Representative,1,Married,10673,3142,2,Yes,13,3,3,1,21,5,2,10,9,9,5,0.9369436895964636,1,2,2.3333333333333335,0.4090909090909091,0,0,0.5197368421052632,0,1,192114.0
32,Travel_Rarely,1093,Sales,6,4,Medical,2,Male,87,3,2,Sales Executive,3,Single,5010,24301,1,No,16,3,1,0,12,0,3,11,8,5,7,2.1956087819968846,1,0,2.0,0.6153846153846154,0,0,0.5730146012231918,0,1,90180.0
54,Travel_Rarely,1217,Research & Development,2,4,Technical Degree,1,Female,60,3,3,Research Director,3,Married,13549,24001,9,No,12,3,1,1,16,5,1,4,3,0,3,0.2952247398114086,0,0,1.6666666666666667,0.17647058823529413,0,0,0.23821345029239765,0,0,243882.0
24,Travel_Rarely,1353,Sales,3,2,Other,1,Female,33,3,2,Sales Executive,3,Married,4999,17519,0,No,21,4,1,1,4,2,2,3,2,0,2,0.6001200238847529,0,0,1.6666666666666667,0.4,0,0,0.33296985185521233,0,0,89982.0
28,Non-Travel,120,Sales,4,3,Medical,2,Male,43,3,2,Sales Executive,3,Married,4221,8863,1,No,15,3,2,0,5,3,4,5,4,0,4,1.18455342307876,0,0,2.3333333333333335,0.6666666666666666,0,0,0.24326068376068374,0,0,75978.0
58,Travel_Rarely,682,Sales,10,4,Medical,4,Male,37,3,4,Sales Executive,3,Single,13872,24409,0,No,13,3,3,0,38,1,2,37,10,1,8,2.667243367743134,0,0,3.3333333333333335,0.2564102564102564,0,0,0.0,0,0,249696.0
